structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset,dd_guardrail_pass
4,36,28.0,64.0,24.0,7.4,2.2,1.4,0.0,4,1.0,3.0,8.2,1,risk_based,I,5.0,130.0,10000.0,18,0.6111111111111112,1574.7096842493756,3.175204866373041,0.0264526755715809,9.12242805694738,SOLUSDT_15m,1
4,36,24.0,64.0,22.0,7.4,2.4,1.0,0.1,5,1.4,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,21,0.6666666666666666,1564.6609195663023,2.5771473281288304,0.05087316463407245,7.9863360819217455,SOLUSDT_1h,1
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,13,0.5384615384615384,1561.9363243533298,2.278443457975005,0.09607920319999999,6.898277938395646,SOLUSDT_1h,1
4,30,16.0,66.0,14.0,7.6,2.8,1.0,0.05,4,2.0,2.5,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.7916666666666666,1560.2023849524667,3.0131202670980404,0.036921533385980046,9.143178318990607,ETHUSDT_15m,1
2,33,14.0,58.0,20.0,7.8,1.8,1.0,0.05,3,1.6,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,30,0.6333333333333333,1555.2391765379907,1.6951069072743898,0.11409599641439382,6.153165001843589,SOLUSDT_15m,1
2,33,26.0,58.0,22.0,7.2,2.0,1.4,0.2,3,1.2,4.0,8.6,1,risk_based,I,5.0,130.0,10000.0,12,0.8333333333333334,1546.2701477197188,7.17010186937139,0.012,17.340473886462494,ETHUSDT_4h,1
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,1536.9496590774106,3.260347627601829,0.0362864869294435,9.188785453492738,SOLUSDT_15m,1
2,27,22.0,60.0,20.0,7.4,2.2,1.2,0.1,4,1.6,4.5,8.2,1,risk_based,I,5.0,130.0,10000.0,32,0.65625,1532.2099995836488,2.020621436919244,0.03486083798088993,7.093245359479467,ETHUSDT_15m,1
2,33,24.0,62.0,14.0,6.8,2.2,1.0,0.1,3,1.8,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,35,0.6571428571428571,1529.0129344676025,2.113294788972707,0.04946396596111909,7.292924900243945,ETHUSDT_15m,1
4,27,26.0,64.0,18.0,7.2,1.8,1.2,0.15,2,2.0,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,26,0.6153846153846154,1522.781078373384,1.9654435443075238,0.0749906861910086,6.671773031492329,SOLUSDT_15m,1
3,24,14.0,60.0,18.0,7.6,2.0,1.4,0.2,4,1.6,5.0,8.8,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,1516.8205342225428,2.2862368814857805,0.031744000000000154,7.157812297194104,SOLUSDT_1h,1
2,21,20.0,66.0,24.0,7.6,2.4,0.8,0.15,4,1.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,24,0.75,1514.8596459510445,1.8942672668207574,0.11691242965184,6.557656890637039,ETHUSDT_4h,1
4,33,14.0,66.0,24.0,7.2,2.6,1.0,0.05,5,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,24,0.75,1507.9743162456161,3.004700135243685,0.02921451485244178,9.034731042175661,ETHUSDT_15m,1
3,24,14.0,60.0,18.0,7.6,2.0,1.4,0.2,4,1.6,5.0,8.8,1,risk_based,I,5.0,130.0,10000.0,18,0.5555555555555556,1502.9827060637526,2.068266878687951,0.06965470469058242,6.62388568270124,ETHUSDT_1h,1
4,36,30.0,62.0,22.0,7.4,2.8,0.8,0.0,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,16,0.625,1501.3159603314944,1.687567450393062,0.11470719,5.789829291117618,ETHUSDT_4h,1
4,36,26.0,66.0,24.0,8.0,2.6,1.4,0.05,5,1.4,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,1501.038581277071,2.2988800703610703,0.10720228467741126,7.017191867966979,ETHUSDT_1h,1
3,24,14.0,60.0,18.0,7.6,2.0,1.4,0.2,4,1.6,5.0,8.8,1,risk_based,I,5.0,130.0,10000.0,25,0.48,1493.433826145043,1.6773317717805138,0.04752893848286918,5.925510554257463,SOLUSDT_4h,1
5,21,26.0,64.0,16.0,7.0,1.8,1.4,0.1,5,1.4,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,19,0.7368421052631579,1493.2330443116334,3.1480174079910626,0.031696304966205645,9.179442103289878,ETHUSDT_15m,1
5,33,16.0,64.0,16.0,7.6,2.6,1.4,0.15,5,2.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,12,0.5,1491.6297092482837,2.2037616866596768,0.07700855090654446,6.658127429848004,SOLUSDT_1h,1
5,21,26.0,64.0,16.0,7.0,1.8,1.4,0.1,5,1.4,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,1489.522680260803,3.3041278141276353,0.04799374772087156,9.397130398686791,SOLUSDT_1h,1
